epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5918,2.02617,2.97502,2.01014,0.15235,0.21972,0.10179,0.04138,2.17951,3.82599,2.33926,0.000474601,0.000474601,0.000474601
2,73.602,2.0609,2.83408,2.05365,0.21727,0.16824,0.15265,0.07358,2.3357,3.14426,2.46414,0.00094152,0.00094152,0.00094152
3,109.433,2.06521,2.85509,2.11625,0.49723,0.24513,0.15637,0.08045,2.24965,3.7246,2.48866,0.00139901,0.00139901,0.00139901
4,144.209,2.03735,2.8209,2.09948,0.53706,0.18178,0.16455,0.09497,2.20554,2.97965,2.39,0.00138656,0.00138656,0.00138656
5,178.431,1.9936,2.72123,2.05723,0.2957,0.21857,0.18053,0.08787,2.16834,2.81036,2.38662,0.00137241,0.00137241,0.00137241
6,213.047,1.98054,2.7185,2.04115,0.38599,0.23633,0.20707,0.11843,2.06264,2.70646,2.29268,0.00135826,0.00135826,0.00135826
7,247.942,1.93725,2.6554,2.01446,0.30094,0.25925,0.21255,0.11866,2.03685,2.6413,2.27654,0.00134412,0.00134412,0.00134412
8,284.832,1.8964,2.63151,1.98302,0.33259,0.24463,0.18831,0.10611,2.08879,2.82896,2.2282,0.00132997,0.00132997,0.00132997
9,321.809,1.90605,2.59039,1.97134,0.3565,0.26877,0.24268,0.13746,1.9741,2.55517,2.20959,0.00131582,0.00131582,0.00131582
10,360.84,1.87051,2.56713,1.95149,0.34287,0.26705,0.22378,0.12278,2.00571,2.63737,2.22026,0.00130168,0.00130168,0.00130168
11,398.921,1.86691,2.51709,1.94059,0.68139,0.21581,0.2341,0.13358,1.99793,2.58048,2.19433,0.00128753,0.00128753,0.00128753
12,445.96,1.82059,2.46183,1.8957,0.41728,0.27365,0.25147,0.14413,1.97635,2.52238,2.13774,0.00127338,0.00127338,0.00127338
13,476.742,1.82694,2.47339,1.91483,0.34729,0.29522,0.25574,0.14849,1.90916,2.47236,2.11016,0.00125923,0.00125923,0.00125923
14,514.737,1.78341,2.45447,1.88736,0.45215,0.24411,0.24009,0.13433,1.95712,2.49661,2.10866,0.00124509,0.00124509,0.00124509
15,552.771,1.76946,2.39501,1.86535,0.44069,0.27928,0.27061,0.14973,1.92536,2.39116,2.09545,0.00123094,0.00123094,0.00123094
16,588.15,1.79002,2.40858,1.88081,0.39883,0.28983,0.27184,0.15125,1.96765,2.41865,2.15292,0.00121679,0.00121679,0.00121679
17,624.115,1.7445,2.38132,1.84797,0.5818,0.25212,0.26278,0.14827,1.97116,2.41146,2.13919,0.00120265,0.00120265,0.00120265
18,660.139,1.74916,2.39403,1.86865,0.40804,0.28917,0.27048,0.15197,1.85465,2.41268,2.05708,0.0011885,0.0011885,0.0011885
19,696.363,1.7338,2.33996,1.84721,0.45295,0.29531,0.27962,0.15955,1.93557,2.41609,2.08609,0.00117435,0.00117435,0.00117435
20,732.321,1.7403,2.35221,1.8486,0.45351,0.30448,0.2876,0.16166,1.90848,2.39122,2.08984,0.00116021,0.00116021,0.00116021
21,776.594,1.72495,2.29727,1.83301,0.41433,0.31882,0.29306,0.15773,1.91846,2.38025,2.07568,0.00114606,0.00114606,0.00114606
22,803.843,1.68692,2.31626,1.82584,0.41042,0.30311,0.27982,0.15876,1.85298,2.39974,2.0745,0.00113191,0.00113191,0.00113191
23,838.84,1.70012,2.28447,1.80434,0.42938,0.30352,0.28965,0.15978,1.91747,2.34955,2.11276,0.00111776,0.00111776,0.00111776
